id,country,population,yearlychange,netchange,area,migrants,fertility,medianage,urbanpopulation
1,China,"1,439,323,776",0.39 %,"5,540,090","9,388,211","-348,399",1.7,38,61 %
2,India,"1,380,004,385",0.99 %,"13,586,631","2,973,190","-532,687",2.2,28,35 %
3,United States,"331,002,651",0.59 %,"1,937,734","9,147,420","954,806",1.8,38,83 %
4,Indonesia,"273,523,615",1.07 %,"2,898,047","1,811,570","-98,955",2.3,30,56 %
5,Pakistan,"220,892,340",2.00 %,"4,327,022","770,880","-233,379",3.6,23,35 %
6,Brazil,"212,559,417",0.72 %,"1,509,890","8,358,140","21,200",1.7,33,88 %
7,Nigeria,"206,139,589",2.58 %,"5,175,990","910,770","-60,000",5.4,18,52 %
8,Bangladesh,"164,689,383",1.01 %,"1,643,222","130,170","-369,501",2.1,28,39 %
9,Russia,"145,934,462",0.04 %,"62,206","16,376,870","182,456",1.8,40,74 %
10,Mexico,"128,932,753",1.06 %,"1,357,224","1,943,950","-60,000",2.1,29,84 %
11,Japan,"126,476,461",-0.30 %,"-383,840","364,555","71,560",1.4,48,92 %
12,Ethiopia,"114,963,588",2.57 %,"2,884,858","1,000,000","30,000",4.3,19,21 %
13,Philippines,"109,581,078",1.35 %,"1,464,463","298,170","-67,152",2.6,26,47 %
14,Egypt,"102,334,404",1.94 %,"1,946,331","995,450","-38,033",3.3,25,43 %
15,Vietnam,"97,338,579",0.91 %,"876,473","310,070","-80,000",2.1,32,38 %
16,DR Congo,"89,561,403",3.19 %,"2,770,836","2,267,050","23,861",6,17,46 %
17,Turkey,"84,339,067",1.09 %,"909,452","769,630","283,922",2.1,32,76 %
18,Iran,"83,992,949",1.30 %,"1,079,043","1,628,550","-55,000",2.2,32,76 %
19,Germany,"83,783,942",0.32 %,"266,897","348,560","543,822",1.6,46,76 %
20,Thailand,"69,799,978",0.25 %,"174,396","510,890","19,444",1.5,40,51 %
21,United Kingdom,"67,886,011",0.53 %,"355,839","241,930","260,650",1.8,40,83 %
22,France,"65,273,511",0.22 %,"143,783","547,557","36,527",1.9,42,82 %
23,Italy,"60,461,826",-0.15 %,"-88,249","294,140","148,943",1.3,47,69 %
24,Tanzania,"59,734,218",2.98 %,"1,728,755","885,800","-40,076",4.9,18,37 %
25,South Africa,"59,308,690",1.28 %,"750,420","1,213,090","145,405",2.4,28,67 %
26,Myanmar,"54,409,800",0.67 %,"364,380","653,290","-163,313",2.2,29,31 %
27,Kenya,"53,771,296",2.28 %,"1,197,323","569,140","-10,000",3.5,20,28 %
28,South Korea,"51,269,185",0.09 %,"43,877","97,230","11,731",1.1,44,82 %
29,Colombia,"50,882,891",1.08 %,"543,448","1,109,500","204,796",1.8,31,80 %
30,Spain,"46,754,778",0.04 %,"18,002","498,800","40,000",1.3,45,80 %
31,Uganda,"45,741,007",3.32 %,"1,471,413","199,810","168,694",5,17,26 %
32,Argentina,"45,195,774",0.93 %,"415,097","2,736,690","4,800",2.3,32,93 %
33,Algeria,"43,851,044",1.85 %,"797,990","2,381,740","-10,000",3.1,29,73 %
34,Sudan,"43,849,260",2.42 %,"1,036,022","1,765,048","-50,000",4.4,20,35 %
35,Ukraine,"43,733,762",-0.59 %,"-259,876","579,320","10,000",1.4,41,69 %
36,Iraq,"40,222,493",2.32 %,"912,710","434,320","7,834",3.7,21,73 %
37,Afghanistan,"38,928,346",2.33 %,"886,592","652,860","-62,920",4.6,18,25 %
38,Poland,"37,846,611",-0.11 %,"-41,157","306,230","-29,395",1.4,42,60 %
39,Canada,"37,742,154",0.89 %,"331,107","9,093,510","242,032",1.5,41,81 %
40,Morocco,"36,910,560",1.20 %,"438,791","446,300","-51,419",2.4,30,64 %
41,Saudi Arabia,"34,813,871",1.59 %,"545,343","2,149,690","134,979",2.3,32,84 %
42,Uzbekistan,"33,469,203",1.48 %,"487,487","425,400","-8,863",2.4,28,50 %
43,Peru,"32,971,854",1.42 %,"461,401","1,280,000","99,069",2.3,31,79 %
44,Angola,"32,866,272",3.27 %,"1,040,977","1,246,700","6,413",5.6,17,67 %
45,Malaysia,"32,365,999",1.30 %,"416,222","328,550","50,000",2,30,78 %
46,Mozambique,"31,255,435",2.93 %,"889,399","786,380","-5,000",4.9,18,38 %
47,Ghana,"31,072,940",2.15 %,"655,084","227,540","-10,000",3.9,22,57 %
48,Yemen,"29,825,964",2.28 %,"664,042","527,970","-30,000",3.8,20,38 %
49,Nepal,"29,136,808",1.85 %,"528,098","143,350","41,710",1.9,25,21 %
50,Venezuela,"28,435,940",-0.28 %,"-79,889","882,050","-653,249",2.3,30,N.A.
51,Madagascar,"27,691,018",2.68 %,"721,711","581,795","-1,500",4.1,20,39 %
52,Cameroon,"26,545,863",2.59 %,"669,483","472,710","-4,800",4.6,19,56 %
